task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
770 -- 1 -- 286 -- 0 -- 714 -- 7.732 -- 0 -- 2
775 -- 1 -- 277 -- 0 -- 670 -- 18.433 -- 0 -- 2
778 -- 1 -- 288 -- 0 -- 714 -- 9.033 -- 0 -- 2
780 -- 1 -- 251 -- 0 -- 670 -- 17.278 -- 0 -- 2
781 -- 1 -- 244 -- 0 -- 670 -- 24.707 -- 0 -- 2
783 -- 1 -- 265 -- 0 -- 670 -- 16.567 -- 0 -- 2
785 -- 1 -- 289 -- 0 -- 670 -- 21.942 -- 0 -- 2
787 -- 1 -- 253 -- 0 -- 670 -- 29.246 -- 0 -- 2
789 -- 1 -- 241 -- 0 -- 670 -- 22.748 -- 0 -- 2
796 -- 1 -- 289 -- 0 -- 670 -- 25.903 -- 0 -- 2
801 -- 1 -- 288 -- 0 -- 714 -- 7.817 -- 0 -- 2
802 -- 1 -- 251 -- 0 -- 670 -- 20.024 -- 0 -- 2
805 -- 1 -- 277 -- 0 -- 670 -- 23.931 -- 0 -- 2
806 -- 1 -- 288 -- 0 -- 714 -- 7.821 -- 0 -- 2
812 -- 1 -- 246 -- 0 -- 670 -- 17.773 -- 0 -- 2
814 -- 1 -- 241 -- 0 -- 670 -- 15.056 -- 0 -- 2
817 -- 1 -- 262 -- 0 -- 670 -- 18.594 -- 0 -- 2
826 -- 1 -- 284 -- 0 -- 670 -- 17.783 -- 0 -- 2
830 -- 1 -- 247 -- 0 -- 670 -- 17.094 -- 0 -- 2
832 -- 1 -- 239 -- 0 -- 670 -- 17.724 -- 0 -- 2
842 -- 1 -- 276 -- 0 -- 670 -- 17.605 -- 0 -- 2
845 -- 1 -- 263 -- 0 -- 670 -- 20.801 -- 0 -- 2
848 -- 1 -- 250 -- 0 -- 670 -- 16.278 -- 0 -- 2
857 -- 1 -- 285 -- 0 -- 670 -- 20.685 -- 0 -- 2
859 -- 1 -- 244 -- 0 -- 670 -- 19.881 -- 0 -- 2
860 -- 1 -- 252 -- 0 -- 670 -- 18.304 -- 0 -- 2
871 -- 1 -- 244 -- 0 -- 670 -- 17.75 -- 0 -- 2
875 -- 1 -- 258 -- 0 -- 670 -- 21.128 -- 0 -- 2
877 -- 1 -- 237 -- 0 -- 670 -- 19.386 -- 0 -- 2
883 -- 1 -- 292 -- 0 -- 670 -- 13.21 -- 0 -- 2
885 -- 1 -- 249 -- 0 -- 670 -- 19.907 -- 0 -- 2
886 -- 1 -- 257 -- 0 -- 670 -- 18.926 -- 0 -- 2
888 -- 1 -- 252 -- 0 -- 670 -- 29.077 -- 0 -- 2
892 -- 1 -- 278 -- 0 -- 670 -- 20.963 -- 0 -- 2
894 -- 1 -- 252 -- 0 -- 670 -- 25.521 -- 0 -- 2
899 -- 1 -- 248 -- 0 -- 670 -- 23.024 -- 0 -- 2
900 -- 1 -- 248 -- 0 -- 670 -- 23.639 -- 0 -- 2
902 -- 1 -- 286 -- 0 -- 670 -- 19.148 -- 0 -- 2
904 -- 1 -- 277 -- 0 -- 670 -- 16.612 -- 0 -- 2
907 -- 1 -- 256 -- 0 -- 670 -- 17.131 -- 0 -- 2
915 -- 1 -- 263 -- 0 -- 670 -- 20.801 -- 0 -- 2
920 -- 1 -- 252 -- 0 -- 670 -- 21.386 -- 0 -- 2
927 -- 1 -- 284 -- 0 -- 670 -- 22.731 -- 0 -- 2
929 -- 1 -- 278 -- 0 -- 670 -- 20.978 -- 0 -- 2
933 -- 1 -- 281 -- 0 -- 670 -- 21.121 -- 0 -- 2
937 -- 1 -- 270 -- 0 -- 670 -- 22.834 -- 0 -- 2
941 -- 1 -- 264 -- 0 -- 670 -- 19.605 -- 0 -- 2
943 -- 1 -- 266 -- 0 -- 670 -- 19.66 -- 0 -- 2
945 -- 1 -- 249 -- 0 -- 670 -- 22.316 -- 0 -- 2
946 -- 1 -- 262 -- 0 -- 670 -- 19.974 -- 0 -- 2
947 -- 1 -- 262 -- 0 -- 670 -- 18.967 -- 0 -- 2
